,Results.reception.time,MD5.hash.of.participant.s.IP.address,Controller.name,Order.number.of.item,Inner.element.number,Label,Latin.Square.Group,PennElementType,PennElementName,Parameter,Value,EventTime,List,Target,Slide,Comments,new_value_temporary,new_value_one_indexed,new_name_file
0,1675959076,39d1bfacd5f6a48190c3156b3404f9cf,PennController,8,0,intro_ID,,PennController,0,_Trial_,Start,1675958154937,,,,,,,
1,1675959076,39d1bfacd5f6a48190c3156b3404f9cf,PennController,8,0,intro_ID,,PennController,0,_Trial_,End,1675958172438,,,,,,,
2,1675959076,39d1bfacd5f6a48190c3156b3404f9cf,PennController,9,0,consent_form,,PennController,3,_Trial_,Start,1675958172445,,,,,,,
3,1675959076,39d1bfacd5f6a48190c3156b3404f9cf,PennController,9,0,consent_form,,Button,I agree.,Click,Click,1675958178369,,,,,,,
4,1675959076,39d1bfacd5f6a48190c3156b3404f9cf,PennController,9,0,consent_form,,PennController,3,_Trial_,End,1675958178374,,,,,,,
5,1675959076,39d1bfacd5f6a48190c3156b3404f9cf,PennController,6,0,initiate_recorder,,PennController,InitiateRecorder,_Trial_,Start,1675958178376,,,,,,,
6,1675959076,39d1bfacd5f6a48190c3156b3404f9cf,PennController,6,0,initiate_recorder,,PennController,InitiateRecorder,_Trial_,End,1675958193039,,,,,,,
7,1675959076,39d1bfacd5f6a48190c3156b3404f9cf,PennController,11,0,audio_check,,PennController,5,_Trial_,Start,1675958193042,,,,,,,
8,1675959076,39d1bfacd5f6a48190c3156b3404f9cf,PennController,11,0,audio_check,,PennController,5,_Trial_,End,1675958222214,,,,,,,
9,1675959076,39d1bfacd5f6a48190c3156b3404f9cf,PennController,11,0,audio_check,,MediaRecorder,ac_recorder,Filename,ac_recorder.webm,1675958222214,,,,,,,
10,1675959076,39d1bfacd5f6a48190c3156b3404f9cf,PennController,10,0,questionnaire,,PennController,4,_Trial_,Start,1675958222217,,,,,,,
11,1675959076,39d1bfacd5f6a48190c3156b3404f9cf,PennController,10,0,questionnaire,,TextInput,Gender,First,,1675958225487,,CapsLock,,,,,
12,1675959076,39d1bfacd5f6a48190c3156b3404f9cf,PennController,10,0,questionnaire,,TextInput,Language,First,,1675958233491,,CapsLock,,,,,
13,1675959076,39d1bfacd5f6a48190c3156b3404f9cf,PennController,10,0,questionnaire,,TextInput,Prolific_ID_input,First,,1675958246034,,Control,,,,,
14,1675959076,39d1bfacd5f6a48190c3156b3404f9cf,PennController,10,0,questionnaire,,TextInput,Gender,Final,Female,1675958253087,,,,,,,
15,1675959076,39d1bfacd5f6a48190c3156b3404f9cf,PennController,10,0,questionnaire,,TextInput,Prolific_ID_input,Final,5f9531aba2e73437e84922d0,1675958253088,,,,,,,
16,1675959076,39d1bfacd5f6a48190c3156b3404f9cf,PennController,10,0,questionnaire,,TextInput,Impairments,Final,,1675958253088,,,,,,,
17,1675959076,39d1bfacd5f6a48190c3156b3404f9cf,PennController,10,0,questionnaire,,TextInput,Language,Final,English,1675958253088,,,,,,,
18,1675959076,39d1bfacd5f6a48190c3156b3404f9cf,PennController,10,0,questionnaire,,PennController,4,_Trial_,End,1675958253095,,,,,,,
19,1675959076,39d1bfacd5f6a48190c3156b3404f9cf,PennController,0,0,preload_familiarisation,,PennController,Preloader-0,_Trial_,End,1675958253097,,,,,,,
20,1675959076,39d1bfacd5f6a48190c3156b3404f9cf,PennController,0,0,preload_familiarisation,,PennController,Preloader-0,_Trial_,Start,1675958253097,,,,,,,
21,1675959076,39d1bfacd5f6a48190c3156b3404f9cf,PennController,12,0,familiarisation,,PennController,6,_Trial_,Start,1675958253098,,,,,,,
22,1675959076,39d1bfacd5f6a48190c3156b3404f9cf,PennController,12,0,familiarisation,,PennController,6,_Trial_,End,1675958268682,,,,,,,
23,1675959076,39d1bfacd5f6a48190c3156b3404f9cf,PennController,1,0,preload_fam_block_b,,PennController,Preloader-1,_Trial_,End,1675958268685,,,,,,,
24,1675959076,39d1bfacd5f6a48190c3156b3404f9cf,PennController,1,0,preload_fam_block_b,,PennController,Preloader-1,_Trial_,Start,1675958268685,,,,,,,
25,1675959076,39d1bfacd5f6a48190c3156b3404f9cf,PennController,13,0,fam_block_b,,PennController,7,_Trial_,Start,1675958268687,,,,,,,
26,1675959076,39d1bfacd5f6a48190c3156b3404f9cf,PennController,13,0,fam_block_b,,PennController,7,_Trial_,End,1675958270817,,,,,,,
